Cities,SA Best,SA Avg,SA Std,SA Time_Avg,GA Best,GA Avg,GA Std,GA Time_Avg
10,290.3067737918128,290.3067737918128,0.0,0.010848522186279297,290.3067737918128,290.3067737918129,4.641245714809236e-14,0.1028737227121989
20,386.42968948347004,414.08556222695415,38.97210206641299,0.01782091458638509,458.4650248793743,468.93994293357036,11.778723145081992,0.16851361592610678
30,510.84448103373006,532.0124994590005,16.917814943231694,0.024024248123168945,719.378078852124,747.3830916203157,37.97843540931069,0.2384787400563558
40,618.9932287755339,667.3004661770077,40.62000710781695,0.03160238265991211,796.1427206559913,888.2845215884577,83.49126994036548,0.31354276339213055
50,821.053888073816,858.6776053802643,36.85489546173679,0.03882002830505371,1125.2328781229558,1213.466467615244,69.75180814011402,0.3968346118927002
